Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
26;Sat;04.07.2020;20:30:00;Akhmat Grozny;0–4;CSKA Moscow;1,473;Stadion im. Akhmat-Khaji Kadyrova;Pavel Kukuyan;Match Report;
26;Sat;04.07.2020;20:30:00;Loko Moscow;0–0;Sochi;;RZD Arena;Aleksey Matyunin;Match Report;
26;Sun;05.07.2020;18:30:00;Ufa;1–1;Ural;1,288;Stadion Neftyanik;Sergey Lapochkin;Match Report;
26;Sun;05.07.2020;18:30:00;Rubin Kazan;1–0;Orenburg;2,604;Kazan Arena;Kirill Levnikov;Match Report;
26;Sun;05.07.2020;20:30:00;Krasnodar;2–4;Zenit;;Stadion Akademii FK Krasnodar;Sergey Karasev;Match Report;
27;Tue;07.07.2020;18:30:00;Tambov;1–2;Akhmat Grozny;;Stadion STC Tambov;Sergey Ivanov;Match Report;
27;Tue;07.07.2020;20:30:00;Arsenal Tula;2–4;Samara;;Stadion Arsenal;Mikhail Vilkov;Match Report;
27;Wed;08.07.2020;18:00:00;Zenit;2–1;Sochi;;Gazprom Arena;Evgeny Turbin;Match Report;
27;Wed;08.07.2020;20:00:00;Orenburg;0–4;CSKA Moscow;;Stadion Gazovik;Aleksey Sukhoy;Match Report;
27;Wed;08.07.2020;20:30:00;Rostov;1–2;Ufa;4,541;Rostov Arena;Aleksey Eskov;Match Report;
27;Wed;08.07.2020;20:30:00;Spartak Moscow;1–1;Loko Moscow;3,754;Otkrytie Arena;Sergey Lapochkin;Match Report;
27;Thu;09.07.2020;19:00:00;Ural;2–1;Dynamo Mosc;;Stadion Central'nyj;Vladimir Moskalev;Match Report;
27;Thu;09.07.2020;20:30:00;Rubin Kazan;1–0;Krasnodar;;Kazan Arena;Stanislav Vasilyev;Match Report;
28;Sat;11.07.2020;16:00:00;Arsenal Tula;2–1;Tambov;;Stadion Arsenal;Pavel Kukuyan;Match Report;
28;Sat;11.07.2020;18:30:00;Akhmat Grozny;1–1;Zenit;;Stadion im. Akhmat-Khaji Kadyrova;Mikhail Vilkov;Match Report;
28;Sat;11.07.2020;21:30:00;Sochi;1–0;Spartak Moscow;;Olimpiyskiy Stadion Fisht;Sergey Ivanov;Match Report;
28;Sun;12.07.2020;16:30:00;Loko Moscow;1–1;Ufa;;RZD Arena;Vladislav Bezborodov;Match Report;
28;Sun;12.07.2020;18:30:00;CSKA Moscow;1–1;Rubin Kazan;;VEB Arena;Aleksey Matyunin;Match Report;
28;Sun;12.07.2020;18:30:00;Dynamo Mosc;2–0;Samara;;VTB Arena;Sergey Karasev;Match Report;
28;Sun;12.07.2020;20:30:00;Krasnodar;3–0;Ural;2,977;Stadion Akademii FK Krasnodar;Kirill Levnikov;Match Report;
28;Sun;12.07.2020;20:30:00;Orenburg;0–0;Rostov;;Stadion Gazovik;Igor Panin;Match Report;
29;Wed;15.07.2020;18:00:00;Spartak Moscow;3–0;Akhmat Grozny;3,1;Otkrytie Arena;Aleksey Sukhoy;Match Report;
29;Wed;15.07.2020;18:00:00;Ural;1–3;Arsenal Tula;3,372;Stadion Central'nyj;Nikolay Voloshin;Match Report;
29;Wed;15.07.2020;19:00:00;Samara;0–0;Krasnodar;;Cosmos Arena;Vladimir Moskalev;Match Report;
29;Wed;15.07.2020;20:30:00;Zenit;4–1;Orenburg;6,395;Gazprom Arena;Vitaly Meshkov;Match Report;
29;Thu;16.07.2020;18:00:00;Rubin Kazan;0–0;Rostov;4,202;Kazan Arena;Vasiliy Kazartsev;Match Report;
29;Thu;16.07.2020;20:00:00;Ufa;0–1;Dynamo Mosc;1,497;Stadion Neftyanik;Pavel Kukuyan;Match Report;
29;Thu;16.07.2020;20:30:00;Loko Moscow;2–1;CSKA Moscow;;RZD Arena;Evgeny Turbin;Match Report;
29;Thu;16.07.2020;20:30:00;Tambov;3–0;Sochi;;Stadion STC Tambov;;Match Report;Match awarded to Tambov
23;Sun;19.07.2020;20:30:00;Krasnodar;0–2;Dynamo Mosc;3,518;Stadion Akademii FK Krasnodar;Mikhail Vilkov;Match Report;
30;Wed;22.07.2020;19:00:00;Rostov;1–2;Zenit;4,541;Rostov Arena;Sergey Karasev;Match Report;
30;Wed;22.07.2020;19:00:00;Krasnodar;4–0;Akhmat Grozny;3,367;Stadion Akademii FK Krasnodar;Vladislav Bezborodov;Match Report;
30;Wed;22.07.2020;19:00:00;Dynamo Mosc;0–1;Orenburg;2,445;VTB Arena;Sergey Lapochkin;Match Report;
30;Wed;22.07.2020;19:00:00;CSKA Moscow;2–0;Tambov;2,899;VEB Arena;Kirill Levnikov;Match Report;
30;Wed;22.07.2020;19:00:00;Rubin Kazan;1–2;Spartak Moscow;4,226;Kazan Arena;Pavel Kukuyan;Match Report;
30;Wed;22.07.2020;20:00:00;Samara;3–0;Sochi;;Cosmos Arena;;Match Report;Match awarded to
30;Wed;22.07.2020;21:00:00;Ufa;0–0;Arsenal Tula;1,127;Stadion Neftyanik;Aleksey Matyunin;Match Report;
30;Wed;22.07.2020;21:00:00;Ural;0–1;Loko Moscow;3,458;Stadion Central'nyj;Stanislav Vasilyev;Match Report;
