Столбец1;Wk;Day;Date;Time;Home;Score;Away;Столбец3;Столбец2;Referee;Столбец4;Notes
;21;Sat;12.03.2022;19:00:00;Loko Moscow;1–2;CSKA Moscow;;;Sergey Ivanov;;
;21;Sat;12.03.2022;20:30:00;Arsenal Tula;1–4;Dynamo Mosc;;;Yan Bobrovskiy;;
;21;Sun;13.03.2022;14:00:00;FC Khimki;0–0;Sochi;;;Aleksey Matyunin;;
;21;Sun;13.03.2022;14:00:00;Ural;0–0;Akhmat Grozny;;;Sergey Karasev;;
;21;Sun;13.03.2022;16:30:00;Samara;1–1;Zenit;;;Anton Frolov;;
;21;Sun;13.03.2022;19:00:00;Spartak Moscow;1–2;Krasnodar;;;Evgeny Kukulyak;;
;21;Mon;14.03.2022;19:00:00;Rubin Kazan;1–2;Rostov;;;Vitaly Meshkov;;
;22;Sat;19.03.2022;14:00:00;Ural;0–1;FC Khimki;;;Vladimir Moskalev;;
;22;Sat;19.03.2022;14:00:00;Nizhny Novgorod;1–1;Spartak Moscow;;;Sergey Ivanov;;
;22;Sat;19.03.2022;16:30:00;Akhmat Grozny;2–3;Loko Moscow;;;Vasiliy Kazartsev;;
;22;Sat;19.03.2022;19:30:00;Zenit;3–0;Arsenal Tula;;;Sergey Karasev;;
;22;Sun;20.03.2022;14:00:00;CSKA Moscow;6–1;Rubin Kazan;;;Kirill Levnikov;;
;22;Sun;20.03.2022;16:00:00;Ufa;1–1;Krasnodar;;;Pavel Shadykhanov;;
;22;Sun;20.03.2022;17:30:00;Sochi;2–3;Samara;;;Artem Lyubimov;;
;22;Sun;20.03.2022;20:00:00;Dynamo Mosc;1–1;Rostov;;;Pavel Kukuyan;;
;23;Fri;01.04.2022;19:00:00;Rubin Kazan;2–3;FC Khimki;;;Vladislav Bezborodov;;
;23;Sat;02.04.2022;14:00:00;Arsenal Tula;0–0;Akhmat Grozny;;;Vitaly Meshkov;;
;23;Sat;02.04.2022;15:00:00;Samara;1–2;Ufa;;;Artem Chistyakov;;
;23;Sat;02.04.2022;16:30:00;Rostov;1–2;Nizhny Novgorod;;;Kirill Levnikov;;
;23;Sat;02.04.2022;19:30:00;Loko Moscow;1–0;Spartak Moscow;;;Sergey Karasev;;
;23;Sun;03.04.2022;14:00:00;Krasnodar;0–1;Dynamo Mosc;;;Aleksey Sukhoy;;
;23;Sun;03.04.2022;16:30:00;CSKA Moscow;2–2;Ural;;;Igor Panin;;
;23;Sun;03.04.2022;20:00:00;Sochi;0–0;Zenit;;;Vladimir Moskalev;;
;19;Wed;06.04.2022;19:00:00;Rostov;1–0;Samara;;;Pavel Shadykhanov;;
;24;Sat;09.04.2022;14:00:00;FC Khimki;4–2;CSKA Moscow;;;Pavel Kukuyan;;
;24;Sat;09.04.2022;14:00:00;Nizhny Novgorod;0–1;Dynamo Mosc;;;Vitaly Meshkov;;
;24;Sat;09.04.2022;16:30:00;Rubin Kazan;0–1;Krasnodar;;;Vladimir Moskalev;;
;24;Sat;09.04.2022;19:30:00;Akhmat Grozny;0–2;Zenit;;;Aleksey Matyunin;;
;24;Sun;10.04.2022;14:00:00;Ural;0–1;Samara;;;Kirill Levnikov;;
;24;Sun;10.04.2022;16:00:00;Ufa;1–2;Sochi;;;Aleksey Amelin;;
;24;Sun;10.04.2022;16:30:00;Spartak Moscow;3–0;Arsenal Tula;;;Vladislav Bezborodov;;
;24;Sun;10.04.2022;19:30:00;Rostov;4–1;Loko Moscow;;;Yan Bobrovskiy;;
;25;Fri;15.04.2022;19:30:00;Dynamo Mosc;2–0;Akhmat Grozny;;;Sergey Ivanov;;
;25;Sat;16.04.2022;16:00:00;Ufa;1–1;CSKA Moscow;;;Evgeny Turbin;;
;25;Sat;16.04.2022;16:30:00;Zenit;3–1;Ural;;;Vitaly Meshkov;;
;25;Sat;16.04.2022;19:00:00;Spartak Moscow;1–1;Rubin Kazan;;;Pavel Kukuyan;;
;25;Sun;17.04.2022;16:30:00;Samara;2–0;Krasnodar;;;Sergey Karasev;;
;25;Sun;17.04.2022;17:30:00;Sochi;2–2;Loko Moscow;;;Vasiliy Kazartsev;;
