Столбец4;Wk;Day;Date;Time;Home;Score;Away;Столбец3;Столбец2;Referee;Столбец1;Notes
;3;Sun;31.07.2022;15:00:00;Nizhny Novgorod;2–2;CSKA Moscow;;;Vitaly Meshkov;;
;3;Sun;31.07.2022;17:30:00;Spartak Moscow;4–1;Orenburg;;;Artem Chistyakov;;
;3;Sun;31.07.2022;18:30:00;Samara;1–1;Torpedo Moscow;;;Vasiliy Kazartsev;;
;3;Sun;31.07.2022;20:00:00;Rostov;1–0;FC Khimki;;;Vladislav Bezborodov;;
;4;Sat;06.08.2022;17:00:00;Ural;0–2;Spartak Moscow;;;Pavel Kukuyan;;
;4;Sat;06.08.2022;17:30:00;CSKA Moscow;4–1;Fakel Voronezh;;;Yan Bobrovskiy;;
;4;Sat;06.08.2022;20:00:00;Krasnodar;3–0;Loko Moscow;;;Vladislav Bezborodov;;
;4;Sat;06.08.2022;20:00:00;Akhmat Grozny;0–0;Zenit;;;Sergey Ivanov;;
;4;Sun;07.08.2022;15:00:00;Torpedo Moscow;1–3;FC Khimki;;;Aleksey Amelin;;
;4;Sun;07.08.2022;17:30:00;Samara;0–2;Dynamo Mosc;;;Vitaly Meshkov;;
;4;Sun;07.08.2022;20:00:00;Rostov;2–1;Orenburg;;;Vasiliy Kazartsev;;
;4;Sun;07.08.2022;20:00:00;Sochi;2–1;Nizhny Novgorod;;;Anton Frolov;;
;5;Fri;12.08.2022;19:30:00;Fakel Voronezh;0–0;Ural;;;Vladislav Bezborodov;;
;5;Sat;13.08.2022;15:00:00;Loko Moscow;1–1;Samara;;;Evgeny Kukulyak;;
;5;Sat;13.08.2022;17:00:00;Zenit;2–1;CSKA Moscow;;;Pavel Kukuyan;;
;5;Sat;13.08.2022;20:00:00;Dynamo Mosc;0–0;Krasnodar;;;Sergey Karasev;;
;5;Sun;14.08.2022;15:00:00;FC Khimki;1–3;Akhmat Grozny;;;Kirill Levnikov;;
;5;Sun;14.08.2022;17:30:00;Nizhny Novgorod;3–4;Rostov;;;Pavel Shadykhanov;;
;5;Sun;14.08.2022;19:30:00;Orenburg;1–0;Torpedo Moscow;;;Artem Lyubimov;;
;5;Sun;14.08.2022;20:00:00;Spartak Moscow;3–0;Sochi;;;Vitaly Meshkov;;
;6;Fri;19.08.2022;20:00:00;Samara;1–1;Fakel Voronezh;;;Evgeny Turbin;;
;6;Sat;20.08.2022;15:00:00;FC Khimki;0–3;Loko Moscow;;;Ivan Sidenkov;;
;6;Sat;20.08.2022;15:00:00;Ural;0–1;Nizhny Novgorod;;;Kirill Levnikov;;
;6;Sat;20.08.2022;17:30:00;Dynamo Mosc;1–0;Spartak Moscow;;;Pavel Kukuyan;;
;6;Sat;20.08.2022;20:00:00;Rostov;2–2;Sochi;;;Vladislav Bezborodov;;
;6;Sun;21.08.2022;15:00:00;CSKA Moscow;4–2;Akhmat Grozny;;;Sergey Karasev;;
;6;Sun;21.08.2022;17:30:00;Zenit;2–0;Torpedo Moscow;;;Aleksey Sukhoy;;
;6;Sun;21.08.2022;20:00:00;Krasnodar;2–0;Orenburg;;;Aleksey Amelin;;
;7;Fri;26.08.2022;21:00:00;Sochi;4–1;FC Khimki;;;Vasiliy Kazartsev;;
;7;Sat;27.08.2022;15:00:00;Nizhny Novgorod;2–2;Dynamo Mosc;;;Yan Bobrovskiy;;
;7;Sat;27.08.2022;17:30:00;Fakel Voronezh;1–4;Spartak Moscow;;;Artem Lyubimov;;
;7;Sat;27.08.2022;20:00:00;Akhmat Grozny;1–2;Samara;;;Anton Frolov;;
;7;Sun;28.08.2022;15:00:00;Ural;0–4;Zenit;;;Pavel Shadykhanov;;
;7;Sun;28.08.2022;15:00:00;Loko Moscow;5–1;Orenburg;;;Kirill Levnikov;;
;7;Sun;28.08.2022;17:30:00;Torpedo Moscow;1–4;Krasnodar;;;Evgeny Kukulyak;;
;7;Sun;28.08.2022;19:45:00;Rostov;0–0;CSKA Moscow;;;Vitaly Meshkov;;
;8;Sat;03.09.2022;15:00:00;Nizhny Novgorod;3–1;Fakel Voronezh;;;Evgeny Kukulyak;;
;8;Sat;03.09.2022;15:00:00;Orenburg;3–1;FC Khimki;;;Sergey Ivanov;;
;8;Sat;03.09.2022;18:30:00;Krasnodar;2–1;Sochi;;;Pavel Shadykhanov;;
;8;Sat;03.09.2022;20:30:00;Dynamo Mosc;2–1;Ural;;;Vitaly Meshkov;;
;8;Sun;04.09.2022;16:00:00;Samara;0–1;CSKA Moscow;;;Artem Lyubimov;;
;8;Sun;04.09.2022;17:30:00;Loko Moscow;1–2;Akhmat Grozny;;;Evgeny Turbin;;
;8;Sun;04.09.2022;20:00:00;Spartak Moscow;1–2;Zenit;;;Pavel Kukuyan;;
;8;Mon;05.09.2022;20:00:00;Torpedo Moscow;0–1;Rostov;;;Yan Bobrovskiy;;
;9;Fri;09.09.2022;21:00:00;Sochi;2–1;Dynamo Mosc;;;Kirill Levnikov;;
;9;Sat;10.09.2022;15:00:00;FC Khimki;0–0;Samara;;;Vladimir Moskalev;;
;9;Sat;10.09.2022;17:30:00;CSKA Moscow;4–1;Krasnodar;;;Sergey Ivanov;;
;9;Sat;10.09.2022;19:45:00;Akhmat Grozny;1–3;Nizhny Novgorod;;;Pavel Shadykhanov;;
;9;Sun;11.09.2022;15:00:00;Fakel Voronezh;2–0;Loko Moscow;;;Vladislav Bezborodov;;
;9;Sun;11.09.2022;15:00:00;Ural;2–0;Torpedo Moscow;;;Pavel Kukuyan;;
;9;Sun;11.09.2022;17:30:00;Zenit;8–0;Orenburg;;;Evgeny Turbin;;
;9;Sun;11.09.2022;19:45:00;Rostov;4–2;Spartak Moscow;;;Sergey Karasev;;
;10;Sat;17.09.2022;14:00:00;Ural;1–2;Akhmat Grozny;;;Evgeny Kukulyak;;
;10;Sat;17.09.2022;14:00:00;Torpedo Moscow;1–0;CSKA Moscow;;;Pavel Shadykhanov;;
;10;Sat;17.09.2022;16:30:00;Rostov;2–1;Samara;;;Pavel Kukuyan;;
;10;Sat;17.09.2022;19:00:00;Dynamo Mosc;0–2;Zenit;;;Sergey Karasev;;
;10;Sun;18.09.2022;14:00:00;Nizhny Novgorod;0–2;Orenburg;;;Aleksey Sukhoy;;
;10;Sun;18.09.2022;16:30:00;Krasnodar;3–1;FC Khimki;;;Vladislav Bezborodov;;
;10;Sun;18.09.2022;17:30:00;Sochi;1–1;Fakel Voronezh;;;Yan Bobrovskiy;;
;10;Sun;18.09.2022;19:00:00;Spartak Moscow;1–0;Loko Moscow;;;Kirill Levnikov;;
;11;Sat;01.10.2022;16:00:00;Orenburg;4–1;Sochi;;;Artem Lyubimov;;
;11;Sat;01.10.2022;16:30:00;FC Khimki;1–2;CSKA Moscow;;;Pavel Kukuyan;;
;11;Sat;01.10.2022;19:00:00;Loko Moscow;2–4;Ural;;;Sergey Ivanov;;
;11;Sun;02.10.2022;14:00:00;Fakel Voronezh;2–2;Torpedo Moscow;;;Kirill Levnikov;;
;11;Sun;02.10.2022;16:30:00;Zenit;3–1;Rostov;;;Vladimir Moskalev;;
;11;Sun;02.10.2022;19:00:00;Nizhny Novgorod;1–2;Spartak Moscow;;;Evgeny Kukulyak;;
;11;Sun;02.10.2022;19:00:00;Akhmat Grozny;2–1;Dynamo Mosc;;;Vladislav Bezborodov;;
;11;Mon;03.10.2022;19:00:00;Samara;0–0;Krasnodar;;;Aleksey Sukhoy;;
;12;Fri;07.10.2022;19:30:00;Ural;2–1;FC Khimki;;;Sergey Karasev;;
;12;Sat;08.10.2022;14:00:00;Fakel Voronezh;1–1;Zenit;;;Pavel Kukuyan;;
;12;Sat;08.10.2022;16:30:00;CSKA Moscow;1–1;Dynamo Mosc;;;Kirill Levnikov;;
;12;Sat;08.10.2022;19:00:00;Sochi;4–0;Loko Moscow;;;Evgeny Turbin;;
;12;Sun;09.10.2022;14:00:00;Spartak Moscow;5–2;Samara;;;Vasiliy Kazartsev;;
;12;Sun;09.10.2022;16:30:00;Torpedo Moscow;0–0;Nizhny Novgorod;;;Vladislav Bezborodov;;
;12;Sun;09.10.2022;18:30:00;Orenburg;2–1;Akhmat Grozny;;;Vladimir Moskalev;;
;12;Sun;09.10.2022;19:00:00;Rostov;3–2;Krasnodar;;;Vitaly Meshkov;;
;13;Fri;14.10.2022;19:30:00;Rostov;1–2;Ural;;;Evgeny Turbin;;
;13;Sat;15.10.2022;14:00:00;Torpedo Moscow;0–1;Loko Moscow;;;Evgeny Kukulyak;;
;13;Sat;15.10.2022;14:00:00;FC Khimki;0–0;Fakel Voronezh;;;Kirill Levnikov;;
;13;Sat;15.10.2022;16:30:00;Krasnodar;2–3;Akhmat Grozny;;;Yan Bobrovskiy;;
;13;Sat;15.10.2022;19:30:00;Dynamo Mosc;3–2;Orenburg;;;Vasiliy Kazartsev;;
;13;Sun;16.10.2022;14:00:00;Samara;2–0;Sochi;;;Pavel Shadykhanov;;
;13;Sun;16.10.2022;16:30:00;Nizhny Novgorod;0–3;Zenit;;;Artem Chistyakov;;
;13;Sun;16.10.2022;20:00:00;CSKA Moscow;2–2;Spartak Moscow;;;Sergey Karasev;;
;14;Sat;22.10.2022;14:00:00;Nizhny Novgorod;0–2;Krasnodar;;;Vasiliy Kazartsev;;
;14;Sat;22.10.2022;16:30:00;Fakel Voronezh;1–1;Rostov;;;Pavel Shadykhanov;;
;14;Sat;22.10.2022;19:00:00;Loko Moscow;1–3;Dynamo Mosc;;;Pavel Kukuyan;;
;14;Sun;23.10.2022;16:00:00;Orenburg;2–2;CSKA Moscow;;;Vladislav Bezborodov;;
;14;Sun;23.10.2022;16:30:00;Spartak Moscow;5–0;FC Khimki;;;Artem Lyubimov;;
;14;Sun;23.10.2022;19:00:00;Akhmat Grozny;1–0;Torpedo Moscow;;;Artem Chistyakov;;
;14;Mon;24.10.2022;19:30:00;Ural;2–1;Samara;;;Kirill Levnikov;;
;14;Mon;24.10.2022;20:00:00;Zenit;7–0;Sochi;;;Evgeny Kukulyak;;
;15;Fri;28.10.2022;19:00:00;Orenburg;4–1;Fakel Voronezh;;;Evgeny Kukulyak;;
;15;Sat;29.10.2022;14:00:00;Dynamo Mosc;6–1;FC Khimki;;;Yan Bobrovskiy;;
;15;Sat;29.10.2022;16:30:00;Akhmat Grozny;1–2;Rostov;;;Vladislav Bezborodov;;
;15;Sat;29.10.2022;19:00:00;Loko Moscow;0–1;CSKA Moscow;;;Artem Lyubimov;;
;15;Sun;30.10.2022;15:00:00;Sochi;2–2;Ural;;;Anton Frolov;;
;15;Sun;30.10.2022;15:00:00;Samara;2–1;Nizhny Novgorod;;;Vitaly Meshkov;;
;15;Sun;30.10.2022;16:30:00;Spartak Moscow;1–0;Torpedo Moscow;;;Sergey Ivanov;;
;15;Sun;30.10.2022;19:30:00;Krasnodar;0–1;Zenit;;;Vladimir Moskalev;;
;16;Fri;04.11.2022;19:00:00;FC Khimki;2–0;Orenburg;;;Pavel Shadykhanov;;
;16;Sat;05.11.2022;15:00:00;Sochi;1–1;Spartak Moscow;;;Artem Chistyakov;;
;16;Sat;05.11.2022;16:30:00;Fakel Voronezh;3–3;Krasnodar;;;Sergey Karasev;;
;16;Sat;05.11.2022;16:30:00;Zenit;1–2;Akhmat Grozny;;;Pavel Kukuyan;;
;16;Sat;05.11.2022;19:00:00;CSKA Moscow;0–1;Nizhny Novgorod;;;Sergey Ivanov;;
;16;Sun;06.11.2022;16:00:00;Ural;2–2;Loko Moscow;;;Vladislav Bezborodov;;
;16;Sun;06.11.2022;16:30:00;Torpedo Moscow;0–2;Samara;;;Aleksey Amelin;;
;16;Sun;06.11.2022;19:00:00;Rostov;2–1;Dynamo Mosc;;;Vladimir Moskalev;;
;17;Fri;11.11.2022;19:00:00;Nizhny Novgorod;3–2;Akhmat Grozny;;;Aleksey Amelin;;
;17;Sat;12.11.2022;14:00:00;Ural;2–0;Fakel Voronezh;;;Pavel Kukuyan;;
;17;Sat;12.11.2022;15:00:00;Samara;1–3;Rostov;;;Artem Lyubimov;;
;17;Sat;12.11.2022;16:30:00;Torpedo Moscow;0–2;Zenit;;;Sergey Karasev;;
;17;Sat;12.11.2022;19:30:00;Loko Moscow;1–2;Spartak Moscow;;;Vladimir Moskalev;;
;17;Sun;13.11.2022;16:00:00;Orenburg;5–1;Krasnodar;;;Kirill Levnikov;;
;17;Sun;13.11.2022;16:30:00;FC Khimki;0–2;Sochi;;;Sergey Ivanov;;
;17;Sun;13.11.2022;19:30:00;Dynamo Mosc;2–1;CSKA Moscow;;;Vladislav Bezborodov;;
;18;Fri;03.03.2023;19:00:00;Fakel Voronezh;1–1;FC Khimki;;;Artem Chistyakov;;
;18;Sat;04.03.2023;14:00:00;Spartak Moscow;2–2;Ural;;;Vitaly Meshkov;;
;18;Sat;04.03.2023;16:30:00;Zenit;3–0;Nizhny Novgorod;;;Roman;;
;18;Sat;04.03.2023;16:30:00;Akhmat Grozny;3–1;Orenburg;;;Evgeny Turbin;;
;18;Sat;04.03.2023;19:30:00;Rostov;1–3;Loko Moscow;;;Sergey Karasev;;
;18;Sun;05.03.2023;14:00:00;Dynamo Mosc;1–0;Samara;;;Ivan Sidenkov;;
;18;Sun;05.03.2023;16:30:00;Krasnodar;2–2;Torpedo Moscow;;;Evgeny Kukulyak;;
;18;Sun;05.03.2023;20:30:00;Sochi;2–0;CSKA Moscow;;;Vladislav Bezborodov;;
;19;Fri;10.03.2023;20:00:00;Sochi;0–4;Orenburg;;;Sergei Cheban;;
;19;Sat;11.03.2023;14:00:00;Torpedo Moscow;0–1;Ural;;;Roman;;
;19;Sat;11.03.2023;16:30:00;Spartak Moscow;3–2;Fakel Voronezh;;;Vladislav Bezborodov;;
;19;Sat;11.03.2023;16:30:00;Akhmat Grozny;0–1;Loko Moscow;;;Pavel Kukuyan;;
;19;Sat;11.03.2023;19:00:00;Krasnodar;3–1;Dynamo Mosc;;;Artem Lyubimov;;
;19;Sun;12.03.2023;14:00:00;Zenit;3–2;FC Khimki;;;Artur Fedorov;;
;19;Sun;12.03.2023;16:30:00;CSKA Moscow;4–0;Samara;;;Kirill Levnikov;;
;19;Sun;12.03.2023;19:30:00;Rostov;2–1;Nizhny Novgorod;;;Anton Frolov;;
;20;Sat;18.03.2023;14:00:00;Orenburg;2–0;Spartak Moscow;;;Pavel Kukuyan;;
;20;Sat;18.03.2023;16:15:00;Ural;0–1;Dynamo Mosc;;;Aleksey Amelin;;
;20;Sat;18.03.2023;16:30:00;Fakel Voronezh;3–0;Sochi;;;Artem Lyubimov;;
;20;Sat;18.03.2023;19:30:00;Loko Moscow;3–2;Krasnodar;;;Kirill Levnikov;;
;20;Sun;19.03.2023;14:00:00;FC Khimki;0–1;Rostov;;;Vladimir Moskalev;;
;20;Sun;19.03.2023;16:30:00;Nizhny Novgorod;0–3;Torpedo Moscow;;;Evgeny Turbin;;Match awarded to Torpedo Moscow
;20;Sun;19.03.2023;17:30:00;Samara;0–1;Akhmat Grozny;;;Rafael Shafeev;;
;20;Sun;19.03.2023;19:30:00;CSKA Moscow;1–0;Zenit;;;Sergey Karasev;;
;21;Sat;01.04.2023;14:00:00;Nizhny Novgorod;0–4;Loko Moscow;;;Rafael Shafeev;;
;21;Sat;01.04.2023;14:00:00;Dynamo Mosc;0–2;Sochi;;;Roman;;
;21;Sat;01.04.2023;16:30:00;Spartak Moscow;0–0;Akhmat Grozny;;;Aleksey Sukhoy;;
;21;Sat;01.04.2023;19:00:00;Zenit;2–0;Ural;;;Artem Chistyakov;;
;21;Sun;02.04.2023;14:00:00;FC Khimki;0–6;Krasnodar;;;Pavel Shadykhanov;;
;21;Sun;02.04.2023;15:00:00;Samara;1–1;Orenburg;;;Sergey Ivanov;;
;21;Sun;02.04.2023;16:30:00;Fakel Voronezh;0–2;CSKA Moscow;;;Pavel Kukuyan;;
;21;Sun;02.04.2023;19:00:00;Rostov;2–1;Torpedo Moscow;;;Aleksey Amelin;;
;22;Sat;08.04.2023;14:00:00;Torpedo Moscow;2–0;Fakel Voronezh;;;Sergey Karasev;;
;22;Sat;08.04.2023;16:30:00;Akhmat Grozny;2–0;Ural;;;Pavel Shadykhanov;;
;22;Sat;08.04.2023;19:30:00;Spartak Moscow;3–3;Dynamo Mosc;;;Sergey Ivanov;;
;22;Sun;09.04.2023;15:00:00;Sochi;1–2;Samara;;;Kirill Levnikov;;
;22;Sun;09.04.2023;16:30:00;CSKA Moscow;3–0;FC Khimki;;;Roman;;
;22;Sun;09.04.2023;19:00:00;Krasnodar;3–1;Nizhny Novgorod;;;Sergei Cheban;;
;22;Sun;09.04.2023;20:00:00;Loko Moscow;1–2;Zenit;;;Pavel Kukuyan;;
;22;Mon;10.04.2023;19:00:00;Orenburg;2–2;Rostov;;;Roman Safyan;;
;23;Sat;15.04.2023;14:00:00;Dynamo Mosc;3–1;Nizhny Novgorod;;;Artem Chistyakov;;
;23;Sat;15.04.2023;15:00:00;Samara;0–0;FC Khimki;;;Rafael Shafeev;;
;23;Sat;15.04.2023;17:30:00;Sochi;0–2;Krasnodar;;;Vitaly Meshkov;;
;23;Sat;15.04.2023;18:30:00;Ural;1–2;CSKA Moscow;;;Vladislav Bezborodov;;
;23;Sat;15.04.2023;19:00:00;Torpedo Moscow;1–2;Spartak Moscow;;;Pavel Shadykhanov;;
;23;Sun;16.04.2023;16:00:00;Orenburg;1–4;Loko Moscow;;;Vasiliy Kazartsev;;
;23;Sun;16.04.2023;16:30:00;Fakel Voronezh;1–1;Akhmat Grozny;;;Roman;;
;23;Sun;16.04.2023;19:00:00;Rostov;0–0;Zenit;;;Sergey Karasev;;
;24;Sat;22.04.2023;14:00:00;FC Khimki;4–2;Torpedo Moscow;;;Kirill Levnikov;;
;24;Sat;22.04.2023;16:30:00;Fakel Voronezh;1–3;Orenburg;;;Rafael Shafeev;;
;24;Sat;22.04.2023;19:00:00;Zenit;3–1;Dynamo Mosc;;;Vitaly Meshkov;;
;24;Sun;23.04.2023;14:00:00;Ural;1–3;Rostov;;;Pavel Kukuyan;;
;24;Sun;23.04.2023;14:00:00;Nizhny Novgorod;2–1;Samara;;;Roman;;
;24;Sun;23.04.2023;16:30:00;Akhmat Grozny;1–0;Sochi;;;Artur Fedorov;;
;24;Sun;23.04.2023;19:30:00;CSKA Moscow;1–1;Loko Moscow;;;Sergey Karasev;;
;24;Mon;24.04.2023;19:00:00;Spartak Moscow;4–3;Krasnodar;;;Vladislav Bezborodov;;
;25;Fri;28.04.2023;20:00:00;Dynamo Mosc;0–2;Fakel Voronezh;;;Artem Lyubimov;;
;25;Sat;29.04.2023;15:00:00;Samara;1–5;Zenit;;;Sergey Ivanov;;
;25;Sat;29.04.2023;16:30:00;Akhmat Grozny;1–3;CSKA Moscow;;;Aleksey Amelin;;
;25;Sat;29.04.2023;19:00:00;Krasnodar;1–1;Ural;;;Sergey Karasev;;
;25;Sat;29.04.2023;19:30:00;Spartak Moscow;1–1;Rostov;;;Kirill Levnikov;;
;25;Sun;30.04.2023;16:00:00;Orenburg;1–0;Nizhny Novgorod;;;Evgeny Turbin;;
;25;Sun;30.04.2023;17:30:00;Sochi;3–1;Torpedo Moscow;;;Artem Chistyakov;;
;25;Sun;30.04.2023;19:00:00;Loko Moscow;5–1;FC Khimki;;;Vladislav Bezborodov;;
;26;Sat;06.05.2023;14:00:00;FC Khimki;0–1;Dynamo Mosc;;;Sergey Karasev;;
;26;Sat;06.05.2023;16:30:00;Torpedo Moscow;1–5;Akhmat Grozny;;;Evgeny Turbin;;
;26;Sat;06.05.2023;19:00:00;Rostov;0–2;Fakel Voronezh;;;Evgeny Kukulyak;;
;26;Sun;07.05.2023;14:00:00;Nizhny Novgorod;0–0;Ural;;;Vladislav Bezborodov;;
;26;Sun;07.05.2023;16:30:00;CSKA Moscow;2–1;Orenburg;;;Vladimir Moskalev;;
;26;Sun;07.05.2023;18:00:00;Zenit;3–2;Spartak Moscow;;;Pavel Kukuyan;;
;26;Sun;07.05.2023;19:00:00;Krasnodar;2–1;Samara;;;Aleksey Amelin;;
;26;Mon;08.05.2023;17:00:00;Loko Moscow;3–0;Sochi;;;Aleksey Sukhoy;;
;27;Sat;13.05.2023;14:00:00;Ural;2–1;Orenburg;;;Pavel Shadykhanov;;
;27;Sat;13.05.2023;14:00:00;FC Khimki;1–1;Spartak Moscow;;;Evgeny Kukulyak;;
;27;Sat;13.05.2023;16:30:00;Zenit;2–2;Krasnodar;;;Roman Safyan;;
;27;Sat;13.05.2023;19:00:00;CSKA Moscow;3–0;Torpedo Moscow;;;Vitaly Meshkov;;
;27;Sun;14.05.2023;15:00:00;Samara;1–1;Loko Moscow;;;Artem Lyubimov;;
;27;Sun;14.05.2023;16:30:00;Dynamo Mosc;0–3;Akhmat Grozny;;;Vladimir Moskalev;;
;27;Sun;14.05.2023;19:00:00;Fakel Voronezh;1–0;Nizhny Novgorod;;;Sergey Ivanov;;
;27;Sun;14.05.2023;20:00:00;Sochi;1–0;Rostov;;;Yan Bobrovskiy;;
;28;Sat;20.05.2023;14:00:00;Loko Moscow;1–0;Fakel Voronezh;;;Aleksey Amelin;;
;28;Sat;20.05.2023;16:30:00;Torpedo Moscow;0–3;Dynamo Mosc;;;Vasiliy Kazartsev;;
;28;Sat;20.05.2023;18:30:00;Orenburg;2–2;Zenit;;;Aleksey Sukhoy;;
;28;Sat;20.05.2023;19:00:00;Akhmat Grozny;3–0;FC Khimki;;;Vladislav Bezborodov;;
;28;Sun;21.05.2023;15:00:00;Samara;3–0;Ural;;;Vitaly Meshkov;;
;28;Sun;21.05.2023;16:30:00;Spartak Moscow;2–1;CSKA Moscow;;;Sergey Karasev;;
;28;Sun;21.05.2023;19:00:00;Krasnodar;3–0;Rostov;;;Artem Lyubimov;;
;28;Mon;22.05.2023;19:00:00;Nizhny Novgorod;4–0;Sochi;;;Kirill Levnikov;;
;29;Sat;27.05.2023;14:00:00;FC Khimki;0–3;Ural;;;Aleksey Amelin;;
;29;Sat;27.05.2023;16:30:00;Torpedo Moscow;1–3;Orenburg;;;Yan Bobrovskiy;;
;29;Sat;27.05.2023;19:00:00;Krasnodar;0–0;CSKA Moscow;;;Kirill Levnikov;;
;29;Sat;27.05.2023;20:00:00;Sochi;1–1;Zenit;;;Rafael Shafeev;;
;29;Sun;28.05.2023;14:00:00;Spartak Moscow;0–0;Nizhny Novgorod;;;Artem Lyubimov;;
;29;Sun;28.05.2023;16:30:00;Dynamo Mosc;2–4;Loko Moscow;;;Roman Safyan;;
;29;Sun;28.05.2023;16:30:00;Fakel Voronezh;2–1;Samara;;;Vladislav Bezborodov;;
;29;Sun;28.05.2023;19:00:00;Rostov;3–2;Akhmat Grozny;;;Vitaly Meshkov;;
;30;Sat;03.06.2023;17:00:00;Zenit;1–0;Fakel Voronezh;;;Artem Chistyakov;;
;30;Sat;03.06.2023;17:00:00;Loko Moscow;3–1;Torpedo Moscow;;;Sergei Cheban;;
;30;Sat;03.06.2023;17:00:00;Nizhny Novgorod;2–0;FC Khimki;;;Vasiliy Kazartsev;;
;30;Sat;03.06.2023;17:00:00;Akhmat Grozny;2–2;Krasnodar;;;Rafael Shafeev;;
;30;Sat;03.06.2023;17:00:00;CSKA Moscow;4–1;Rostov;;;Pavel Kukuyan;;
;30;Sat;03.06.2023;18:00:00;Samara;1–0;Spartak Moscow;;;Aleksey Amelin;;
;30;Sat;03.06.2023;19:00:00;Orenburg;3–0;Dynamo Mosc;;;Sergey Ivanov;;
;30;Sat;03.06.2023;19:00:00;Ural;1–0;Sochi;;;Vladimir Moskalev;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
